id,owner_id,owner_kind,article_code,condition_type,text,normalized_text,required
condition_article_50_clause_1,article_50_clause_1,Clause,50,act_and_subject,"Khi quyết định hình phạt, Tòa án căn cứ vào quy định của Bộ luật này, cân nhắc tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội, nhân thân người phạm tội, các tình tiết giảm nhẹ và tăng nặng trách nhiệm hình sự.",khi quyet dinh hinh phat toa an can cu vao quy dinh cua bo luat nay can nhac tinh chat va muc do nguy hiem cho xa hoi cua hanh vi pham toi nhan than nguoi pham toi cac tinh tiet giam nhe va tang nang trach nhiem hinh su,true
condition_article_50_clause_2,article_50_clause_2,Clause,50,act_and_subject,"Khi quyết định áp dụng hình phạt tiền, ngoài căn cứ quy định tại khoản 1 Điều này, Tòa án căn cứ vào tình hình tài sản, khả năng thi hành của người phạm tội.",khi quyet dinh ap dung hinh phat tien ngoai can cu quy dinh tai khoan 1 dieu nay toa an can cu vao tinh hinh tai san kha nang thi hanh cua nguoi pham toi,true
condition_article_51_clause_1,article_51_clause_1,Clause,51,subject_age,"Các tình tiết sau đây là tình tiết giảm nhẹ trách nhiệm hình sự: a) Người phạm tội đã ngăn chặn hoặc làm giảm bớt tác hại của tội phạm; b) Người phạm tội tự nguyện sửa chữa, bồi thường thiệt hại hoặc khắc phục hậu quả; c) Phạm tội trong trường hợp vượt quá giới hạn phòng vệ chính đáng; d) Phạm tội trong trường hợp vượt quá yêu cầu của tình thế cấp thiết; đ) Phạm tội trong trường hợp vượt quá mức cần thiết khi bắt giữ người phạm tội; e) Phạm tội trong trường hợp bị kích động về tinh thần do hành vi trái pháp luật của nạn nhân gây ra; g) Phạm tội vì hoàn cảnh đặc biệt khó khăn mà không phải do mình tự gây ra; h) Phạm tội nhưng chưa gây thiệt hại hoặc gây thiệt hại không lớn; i) Phạm tội lần đầu và thuộc trường hợp ít nghiêm trọng; k) Phạm tội vì bị người khác đe dọa hoặc cưỡng bức; l) Phạm tội trong trường hợp bị hạn chế khả năng nhận thức mà không phải do lỗi của mình gây ra; m) Phạm tội do lạc hậu; n) Người phạm tội là phụ nữ có thai; o) Người phạm tội là người đủ 70 tuổi trở lên; p) Người phạm tội là người khuyết tật nặng hoặc khuyết tật đặc biệt nặng; q) Người phạm tội là người có bệnh bị hạn chế khả năng nhận thức hoặc khả năng điều khiển hành vi của mình; r) Người phạm tội tự thú; s) Người phạm tội thành khẩn khai báo, ăn năn hối cải; t) Người phạm tội tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án; u) Người phạm tội đã lập công chuộc tội; v) Người phạm tội là người có thành tích xuất sắc trong sản xuất, chiến đấu, học tập hoặc công tác; x) Người phạm tội là người có công với cách mạng hoặc là cha, mẹ, vợ, chồng, con của liệt sĩ.",cac tinh tiet sau day la tinh tiet giam nhe trach nhiem hinh su a nguoi pham toi da ngan chan hoac lam giam bot tac hai cua toi pham b nguoi pham toi tu nguyen sua chua boi thuong thiet hai hoac khac phuc hau qua c pham toi trong truong hop vuot qua gioi han phong ve chinh dang d pham toi trong truong hop vuot qua yeu cau cua tinh the cap thiet d pham toi trong truong hop vuot qua muc can thiet khi bat giu nguoi pham toi e pham toi trong truong hop bi kich dong ve tinh than do hanh vi trai phap luat cua nan nhan gay ra g pham toi vi hoan canh dac biet kho khan ma khong phai do minh tu gay ra h pham toi nhung chua gay thiet hai hoac gay thiet hai khong lon i pham toi lan dau va thuoc truong hop it nghiem trong k pham toi vi bi nguoi khac de doa hoac cuong buc l pham toi trong truong hop bi han che kha nang nhan thuc ma khong phai do loi cua minh gay ra m pham toi do lac hau n nguoi pham toi la phu nu co thai o nguoi pham toi la nguoi du 70 tuoi tro len p nguoi pham toi la nguoi khuyet tat nang hoac khuyet tat dac biet nang q nguoi pham toi la nguoi co benh bi han che kha nang nhan thuc hoac kha nang dieu khien hanh vi cua minh r nguoi pham toi tu thu s nguoi pham toi thanh khan khai bao an nan hoi cai t nguoi pham toi tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an u nguoi pham toi da lap cong chuoc toi v nguoi pham toi la nguoi co thanh tich xuat sac trong san xuat chien dau hoc tap hoac cong tac x nguoi pham toi la nguoi co cong voi cach mang hoac la cha me vo chong con cua liet si,true
condition_article_51_clause_2,article_51_clause_2,Clause,51,condition,"Khi quyết định hình phạt, Tòa án có thể coi đầu thú hoặc tình tiết khác là tình tiết giảm nhẹ, nhưng phải ghi rõ lý do giảm nhẹ trong bản án.",khi quyet dinh hinh phat toa an co the coi dau thu hoac tinh tiet khac la tinh tiet giam nhe nhung phai ghi ro ly do giam nhe trong ban an,true
condition_article_51_clause_3,article_51_clause_3,Clause,51,condition,Các tình tiết giảm nhẹ đã được Bộ luật này quy định là dấu hiệu định tội hoặc định khung thì không được coi là tình tiết giảm nhẹ trong khi quyết định hình phạt.,cac tinh tiet giam nhe da duoc bo luat nay quy dinh la dau hieu dinh toi hoac dinh khung thi khong duoc coi la tinh tiet giam nhe trong khi quyet dinh hinh phat,true
condition_article_51_clause_1_point_a,article_51_clause_1_point_a,Point,51,act_and_subject,Người phạm tội đã ngăn chặn hoặc làm giảm bớt tác hại của tội phạm;,nguoi pham toi da ngan chan hoac lam giam bot tac hai cua toi pham,true
condition_article_51_clause_1_point_b,article_51_clause_1_point_b,Point,51,act_and_subject,"Người phạm tội tự nguyện sửa chữa, bồi thường thiệt hại hoặc khắc phục hậu quả;",nguoi pham toi tu nguyen sua chua boi thuong thiet hai hoac khac phuc hau qua,true
condition_article_51_clause_1_point_c,article_51_clause_1_point_c,Point,51,condition,Phạm tội trong trường hợp vượt quá giới hạn phòng vệ chính đáng;,pham toi trong truong hop vuot qua gioi han phong ve chinh dang,true
condition_article_51_clause_1_point_d,article_51_clause_1_point_d,Point,51,condition,Phạm tội trong trường hợp vượt quá yêu cầu của tình thế cấp thiết;,pham toi trong truong hop vuot qua yeu cau cua tinh the cap thiet,true
condition_article_51_clause_1_point_d,article_51_clause_1_point_d,Point,51,act_and_subject,Phạm tội trong trường hợp vượt quá mức cần thiết khi bắt giữ người phạm tội;,pham toi trong truong hop vuot qua muc can thiet khi bat giu nguoi pham toi,true
condition_article_51_clause_1_point_e,article_51_clause_1_point_e,Point,51,condition,Phạm tội trong trường hợp bị kích động về tinh thần do hành vi trái pháp luật của nạn nhân gây ra;,pham toi trong truong hop bi kich dong ve tinh than do hanh vi trai phap luat cua nan nhan gay ra,true
