id,owner_id,owner_kind,article_code,penalty_type,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty,text
penalty_article_101_clause_2_1,article_101_clause_2,Clause,101,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_101_clause_2_2,article_101_clause_2,Clause,101,death_penalty,,,,,false,true,tử hình
penalty_article_108_clause_1_1,article_108_clause_1,Clause,108,imprisonment,144,240,,,true,true,phạt tù từ 12 năm đến 20 năm
penalty_article_108_clause_2_1,article_108_clause_2,Clause,108,imprisonment,84,180,,,false,false,phạt tù từ 07 năm đến 15 năm
penalty_article_108_clause_3_1,article_108_clause_3,Clause,108,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_109_clause_1_1,article_109_clause_1,Clause,109,imprisonment,144,240,,,true,false,phạt tù từ 12 năm đến 20 năm
penalty_article_109_clause_2_1,article_109_clause_2,Clause,109,imprisonment,60,144,,,false,false,phạt tù từ 05 năm đến 12 năm
penalty_article_109_clause_3_1,article_109_clause_3,Clause,109,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_110_clause_1_1,article_110_clause_1,Clause,110,imprisonment,144,240,,,true,false,phạt tù từ 12 năm đến 20 năm
penalty_article_110_clause_2_1,article_110_clause_2,Clause,110,imprisonment,60,180,,,false,false,phạt tù từ 05 năm đến 15 năm
penalty_article_110_clause_3_1,article_110_clause_3,Clause,110,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_111_clause_1_1,article_111_clause_1,Clause,111,imprisonment,144,240,,,true,false,phạt tù từ 12 năm đến 20 năm
penalty_article_111_clause_2_1,article_111_clause_2,Clause,111,imprisonment,60,180,,,false,false,phạt tù từ 05 năm đến 15 năm
penalty_article_111_clause_3_1,article_111_clause_3,Clause,111,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_112_clause_1_1,article_112_clause_1,Clause,112,imprisonment,144,240,,,true,true,phạt tù từ 12 năm đến 20 năm
penalty_article_112_clause_2_1,article_112_clause_2,Clause,112,imprisonment,60,180,,,false,false,phạt tù từ 05 năm đến 15 năm
penalty_article_112_clause_3_1,article_112_clause_3,Clause,112,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_113_clause_1_1,article_113_clause_1,Clause,113,imprisonment,144,240,,,true,true,phạt tù từ 12 năm đến 20 năm
penalty_article_113_clause_2_1,article_113_clause_2,Clause,113,imprisonment,120,180,,,false,false,phạt tù từ 10 năm đến 15 năm
penalty_article_113_clause_3_1,article_113_clause_3,Clause,113,imprisonment,60,120,,,false,false,phạt tù từ 05 năm đến 10 năm
penalty_article_113_clause_5_1,article_113_clause_5,Clause,113,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_114_clause_1_1,article_114_clause_1,Clause,114,imprisonment,144,240,,,true,false,phạt tù từ 12 năm đến 20 năm
penalty_article_114_clause_2_1,article_114_clause_2,Clause,114,imprisonment,60,180,,,false,false,phạt tù từ 05 năm đến 15 năm
penalty_article_114_clause_3_1,article_114_clause_3,Clause,114,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
