id,crime_id,article_id,article_code,requirement_type,text,normalized_text
consreq_crime_144_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_le_ton_thuong_co_the,crime_144,article_144,144,consequence,tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%,ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 31 den 60
consreq_crime_144_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_le_ton_thuong_co_the,crime_144,article_144,144,consequence,tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên,ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the 61 tro len
consreq_crime_145_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_nan_nhan_ma_ty_le_ton_thuong_co_the_tu_31_den_60,crime_145,article_145,145,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%,gay thuong tich hoac gay ton hai cho suc khoe cua nan nhan ma ty le ton thuong co the tu 31 den 60
consreq_crime_145_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_nan_nhan_ma_ty_le_ton_thuong_co_the_61_tro_len,crime_145,article_145,145,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên,gay thuong tich hoac gay ton hai cho suc khoe cua nan nhan ma ty le ton thuong co the 61 tro len
consreq_crime_145_consequence_ton_hai_cho_suc_khoe_cua_nan_nhan_ma_ty_le_ton_thuong_co_the_tu_31_den_60,crime_145,article_145,145,consequence,tổn hại cho sức khỏe của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%,ton hai cho suc khoe cua nan nhan ma ty le ton thuong co the tu 31 den 60
consreq_crime_145_consequence_ton_hai_cho_suc_khoe_cua_nan_nhan_ma_ty_le_ton_thuong_co_the_61_tro_len,crime_145,article_145,145,consequence,tổn hại cho sức khỏe của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên,ton hai cho suc khoe cua nan nhan ma ty le ton thuong co the 61 tro len
consreq_crime_150_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_,crime_150,article_150,150,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%, nếu không thuộc trường hợp quy định tại điểm b khoản 3 Điều này",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 31 den 60 neu khong thuoc truong hop quy dinh tai diem b khoan 3 dieu nay
consreq_crime_150_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_,crime_150,article_150,150,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the 61 tro len
consreq_crime_150_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_le_ton_thuong_co_the,crime_150,article_150,150,consequence,"tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%, nếu không thuộc trường hợp quy định tại điểm b khoản 3 Điều này",ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 31 den 60 neu khong thuoc truong hop quy dinh tai diem b khoan 3 dieu nay
consreq_crime_150_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_le_ton_thuong_co_the,crime_150,article_150,150,consequence,tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên,ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the 61 tro len
