id,crime_id,article_id,article_code,owner_id,owner_kind,text,min_value,max_value,unit,normalized_text
threshold_article_136_clause_1_000_000_dong_den_20_000,crime_136,article_136,136,article_136_clause_1,Clause,000.000 đồng đến 20.000,000.000,20.000,vnd,000 000 dong den 20 000
threshold_article_136_clause_1_000_dong,crime_136,article_136,136,article_136_clause_1,Clause,000 đồng,000,,vnd,000 dong
threshold_article_136_clause_1_tu_31_den_60,crime_136,article_136,136,article_136_clause_1,Clause,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_136_clause_2_tu_31_den_60,crime_136,article_136,136,article_136_clause_2,Clause,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_136_clause_2_61_tro_len,crime_136,article_136,136,article_136_clause_2,Clause,61% trở lên,61,,percent,61 tro len
threshold_article_136_clause_3_61_tro_len,crime_136,article_136,136,article_136_clause_3,Clause,61% trở lên,61,,percent,61 tro len
threshold_article_136_clause_2_point_a_tu_31_den_60,crime_136,article_136,136,article_136_clause_2_point_a,Point,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_136_clause_2_point_b_61_tro_len,crime_136,article_136,136,article_136_clause_2_point_b,Point,61% trở lên,61,,percent,61 tro len
threshold_condition_article_137_clause_1_tu_31_den_60,crime_137,article_137,137,condition_article_137_clause_1,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_137_clause_2_point_a_31_tro_len,crime_137,article_137,137,condition_article_137_clause_2_point_a,Condition,31% trở lên,31,,percent,31 tro len
threshold_condition_article_137_clause_2_point_b_61_tro_len,crime_137,article_137,137,condition_article_137_clause_2_point_b,Condition,61% trở lên,61,,percent,61 tro len
threshold_article_137_clause_1_tu_31_den_60,crime_137,article_137,137,article_137_clause_1,Clause,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_137_clause_2_31_tro_len,crime_137,article_137,137,article_137_clause_2,Clause,31% trở lên,31,,percent,31 tro len
threshold_article_137_clause_2_61_tro_len,crime_137,article_137,137,article_137_clause_2,Clause,61% trở lên,61,,percent,61 tro len
threshold_article_137_clause_2_point_a_31_tro_len,crime_137,article_137,137,article_137_clause_2_point_a,Point,31% trở lên,31,,percent,31 tro len
threshold_article_137_clause_2_point_b_61_tro_len,crime_137,article_137,137,article_137_clause_2_point_b,Point,61% trở lên,61,,percent,61 tro len
threshold_condition_article_138_clause_1_tu_31_den_60,crime_138,article_138,138,condition_article_138_clause_1,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_138_clause_3_61_tro_len,crime_138,article_138,138,condition_article_138_clause_3,Condition,61% trở lên,61,,percent,61 tro len
threshold_condition_article_138_clause_2_point_a_tu_31_den_60,crime_138,article_138,138,condition_article_138_clause_2_point_a,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_138_clause_2_point_b_61_tro_len,crime_138,article_138,138,condition_article_138_clause_2_point_b,Condition,61% trở lên,61,,percent,61 tro len
threshold_article_138_clause_1_000_000_dong_den_20_000,crime_138,article_138,138,article_138_clause_1,Clause,000.000 đồng đến 20.000,000.000,20.000,vnd,000 000 dong den 20 000
